1107677,0x366,false,7, 0x12, 0x16, 0xEC, 0x00, 0xF4, 0x0B, 0xC8

1107680,0x307,false,3, 0x00, 0x00, 0x00

1107683,0x3C2,false,8, 0x80, 0x00, 0x02, 0x15, 0xC8, 0x00, 0x00, 0x00

1107686,0x337,false,3, 0x00, 0x00, 0x00

1107688,0x367,false,3, 0x00, 0x00, 0x00

1107693,0x3C2,false,8, 0x80, 0x00, 0x02, 0x15, 0xC8, 0x00, 0x00, 0x00

1107703,0x3C2,false,8, 0x80, 0x00, 0x02, 0x17, 0xC8, 0x00, 0x00, 0x00

1107713,0x3C2,false,8, 0x80, 0x00, 0x02, 0x17, 0xC8, 0x00, 0x00, 0x00

1107721,0x304,false,8, 0x01, 0x16, 0xF1, 0xE2, 0xD3, 0xC4, 0xB5, 0xA6

1107723,0x3C2,false,8, 0x80, 0x00, 0x02, 0x19, 0xC8, 0x00, 0x00, 0x00

1107733,0x3C2,false,8, 0x80, 0x00, 0x02, 0x17, 0xC8, 0x00, 0x00, 0x00

1107743,0x3C2,false,8, 0x80, 0x00, 0x02, 0x17, 0xC8, 0x00, 0x00, 0x00

1107753,0x3C2,false,8, 0x80, 0x00, 0x02, 0x19, 0xC8, 0x00, 0x00, 0x00

1107763,0x3C2,false,8, 0x80, 0x00, 0x02, 0x15, 0xC8, 0x00, 0x00, 0x00

1107773,0x3C2,false,8, 0x80, 0x00, 0x02, 0x17, 0xC8, 0x00, 0x00, 0x00

1107783,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1107793,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1107803,0x3C2,false,8, 0x80, 0x00, 0x02, 0x16, 0xC8, 0x00, 0x00, 0x00

1107813,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1107823,0x3C2,false,8, 0x80, 0x00, 0x02, 0x15, 0xC8, 0x00, 0x00, 0x00

1107833,0x3C2,false,8, 0x80, 0x00, 0x02, 0x19, 0xC8, 0x00, 0x00, 0x00

1107843,0x3C2,false,8, 0x80, 0x00, 0x02, 0x17, 0xC8, 0x00, 0x00, 0x00

1107846,0x307,false,3, 0x00, 0x00, 0x02

1107853,0x337,false,3, 0x00, 0x00, 0x02

1107853,0x3C2,false,8, 0x80, 0x00, 0x02, 0x19, 0xC8, 0x00, 0x00, 0x00

1107854,0x367,false,3, 0x00, 0x00, 0x02

1107863,0x3C2,false,8, 0x80, 0x00, 0x02, 0x14, 0xC8, 0x00, 0x00, 0x00

1107873,0x3C2,false,8, 0x80, 0x00, 0x02, 0x16, 0xC8, 0x00, 0x00, 0x00

1107883,0x3C2,false,8, 0x80, 0x00, 0x02, 0x19, 0xC8, 0x00, 0x00, 0x00

1107893,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1107903,0x3C2,false,8, 0x80, 0x00, 0x02, 0x17, 0xC8, 0x00, 0x00, 0x00

1107913,0x3C2,false,8, 0x80, 0x00, 0x02, 0x15, 0xC8, 0x00, 0x00, 0x00

1107923,0x3C2,false,8, 0x80, 0x00, 0x02, 0x14, 0xC8, 0x00, 0x00, 0x00

1107933,0x3C2,false,8, 0x80, 0x00, 0x02, 0x15, 0xC8, 0x00, 0x00, 0x00

1107943,0x3C2,false,8, 0x80, 0x00, 0x02, 0x15, 0xC8, 0x00, 0x00, 0x00

1107953,0x3C2,false,8, 0x80, 0x00, 0x02, 0x15, 0xC8, 0x00, 0x00, 0x00

1107963,0x3C2,false,8, 0x80, 0x00, 0x02, 0x17, 0xC8, 0x00, 0x00, 0x00

1107973,0x3C2,false,8, 0x80, 0x00, 0x02, 0x16, 0xC8, 0x00, 0x00, 0x00

1107983,0x3C2,false,8, 0x80, 0x00, 0x02, 0x16, 0xC8, 0x00, 0x00, 0x00

1107993,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1108003,0x3C2,false,8, 0x80, 0x00, 0x02, 0x15, 0xC8, 0x00, 0x00, 0x00

1108013,0x3C2,false,8, 0x80, 0x00, 0x02, 0x16, 0xC8, 0x00, 0x00, 0x00

1108023,0x3C2,false,8, 0x80, 0x00, 0x02, 0x17, 0xC8, 0x00, 0x00, 0x00

1108033,0x3C2,false,8, 0x80, 0x00, 0x02, 0x1A, 0xC8, 0x00, 0x00, 0x00

1108043,0x3C2,false,8, 0x80, 0x00, 0x02, 0x17, 0xC8, 0x00, 0x00, 0x00

1108053,0x3C2,false,8, 0x80, 0x00, 0x02, 0x19, 0xC8, 0x00, 0x00, 0x00

1108063,0x3C2,false,8, 0x80, 0x00, 0x02, 0x14, 0xC8, 0x00, 0x00, 0x00

1108073,0x3C2,false,8, 0x80, 0x00, 0x02, 0x15, 0xC8, 0x00, 0x00, 0x00

1108083,0x3C2,false,8, 0x80, 0x00, 0x02, 0x13, 0xC8, 0x00, 0x00, 0x00

1108093,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1108103,0x3C2,false,8, 0x80, 0x00, 0x02, 0x15, 0xC8, 0x00, 0x00, 0x00

1108113,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1108123,0x3C2,false,8, 0x80, 0x00, 0x02, 0x16, 0xC8, 0x00, 0x00, 0x00

1108133,0x3C2,false,8, 0x80, 0x00, 0x02, 0x15, 0xC8, 0x00, 0x00, 0x00

1108143,0x3C2,false,8, 0x80, 0x00, 0x02, 0x14, 0xC8, 0x00, 0x00, 0x00

1108152,0x3C2,false,8, 0x80, 0x00, 0x02, 0x14, 0xC8, 0x00, 0x00, 0x00

1108163,0x3C2,false,8, 0x80, 0x00, 0x02, 0x13, 0xC8, 0x00, 0x00, 0x00

1108172,0x3C2,false,8, 0x80, 0x00, 0x02, 0x14, 0xC8, 0x00, 0x00, 0x00

1108182,0x3C2,false,8, 0x80, 0x00, 0x02, 0x19, 0xC8, 0x00, 0x00, 0x00

1108192,0x3C2,false,8, 0x80, 0x00, 0x02, 0x16, 0xC8, 0x00, 0x00, 0x00

1108202,0x3C2,false,8, 0x80, 0x00, 0x02, 0x13, 0xC8, 0x00, 0x00, 0x00

